media time,time,latitude,longitude
0:00:00,2023-05-17T17:24:32Z,41.448929,-81.668101
0:00:01,2023-05-17T17:24:33Z,41.448926,-81.668097
0:00:02,2023-05-17T17:24:34Z,41.448924,-81.668095
0:00:03,2023-05-17T17:24:35Z,41.448923,-81.668095
0:00:04,2023-05-17T17:24:36Z,41.448922,-81.668093
0:00:05,2023-05-17T17:24:37Z,41.448921,-81.668092
0:00:06,2023-05-17T17:24:38Z,41.448919,-81.66809
0:00:07,2023-05-17T17:24:39Z,41.448918,-81.668089
0:00:08,2023-05-17T17:24:40Z,41.448917,-81.668088
0:00:09,2023-05-17T17:24:41Z,41.448916,-81.668087
0:00:10,2023-05-17T17:24:42Z,41.448915,-81.668084
0:00:11,2023-05-17T17:24:43Z,41.448913,-81.668082
0:00:12,2023-05-17T17:24:44Z,41.448912,-81.668079
0:00:13,2023-05-17T17:24:45Z,41.448911,-81.668077
0:00:14,2023-05-17T17:24:46Z,41.44891,-81.668076
0:00:15,2023-05-17T17:24:47Z,41.44891,-81.668073
0:00:16,2023-05-17T17:24:48Z,41.44891,-81.668072
0:00:17,2023-05-17T17:24:49Z,41.44891,-81.668071
0:00:18,2023-05-17T17:24:50Z,41.448909,-81.668071
0:00:19,2023-05-17T17:24:51Z,41.448909,-81.668071
0:00:20,2023-05-17T17:24:52Z,41.448909,-81.668071
0:00:21,2023-05-17T17:24:53Z,41.448909,-81.66807
0:00:22,2023-05-17T17:24:54Z,41.448908,-81.66807
0:00:23,2023-05-17T17:24:55Z,41.448908,-81.66807
0:00:24,2023-05-17T17:24:56Z,41.448909,-81.668071
0:00:25,2023-05-17T17:24:57Z,41.448909,-81.668073
0:00:26,2023-05-17T17:24:58Z,41.448909,-81.668074
0:00:27,2023-05-17T17:24:59Z,41.448909,-81.668077
0:00:28,2023-05-17T17:25:00Z,41.44891,-81.66808
0:00:29,2023-05-17T17:25:01Z,41.44891,-81.668081
0:00:31,2023-05-17T17:25:02Z,41.44891,-81.668083
0:00:32,2023-05-17T17:25:03Z,41.44891,-81.668083
0:00:33,2023-05-17T17:25:04Z,41.448912,-81.668088
0:00:34,2023-05-17T17:25:05Z,41.448914,-81.66809
0:00:35,2023-05-17T17:25:06Z,41.448916,-81.668098
0:00:36,2023-05-17T17:25:07Z,41.448918,-81.668102
0:00:37,2023-05-17T17:25:08Z,41.448919,-81.668105
0:00:38,2023-05-17T17:25:09Z,41.44892,-81.668097
0:00:39,2023-05-17T17:25:10Z,41.44892,-81.668097
0:00:40,2023-05-17T17:25:11Z,41.44892,-81.668097
0:00:41,2023-05-17T17:25:12Z,41.448921,-81.668101
0:00:42,2023-05-17T17:25:13Z,41.448921,-81.668104
0:00:43,2023-05-17T17:25:14Z,41.44892,-81.668105
0:00:44,2023-05-17T17:25:15Z,41.448919,-81.668104
0:00:45,2023-05-17T17:25:16Z,41.448918,-81.668104
0:00:46,2023-05-17T17:25:17Z,41.448919,-81.668105
0:00:47,2023-05-17T17:25:18Z,41.448919,-81.668107
0:00:48,2023-05-17T17:25:19Z,41.448917,-81.668106
0:00:49,2023-05-17T17:25:20Z,41.448916,-81.668104
0:00:50,2023-05-17T17:25:21Z,41.448915,-81.668105
0:00:51,2023-05-17T17:25:22Z,41.448915,-81.668105
0:00:52,2023-05-17T17:25:23Z,41.448915,-81.668105
0:00:53,2023-05-17T17:25:24Z,41.448916,-81.668111
0:00:54,2023-05-17T17:25:25Z,41.448918,-81.668117
0:00:55,2023-05-17T17:25:26Z,41.44892,-81.668124
0:00:56,2023-05-17T17:25:27Z,41.448921,-81.668126
0:00:57,2023-05-17T17:25:28Z,41.44892,-81.668126
0:00:58,2023-05-17T17:25:29Z,41.44892,-81.668126
0:00:59,2023-05-17T17:25:30Z,41.44892,-81.668126
0:01:00,2023-05-17T17:25:31Z,41.448919,-81.668126
0:01:01,2023-05-17T17:25:32Z,41.448919,-81.668125
0:01:02,2023-05-17T17:25:33Z,41.448918,-81.668124
0:01:03,2023-05-17T17:25:34Z,41.448918,-81.668123
0:01:04,2023-05-17T17:25:35Z,41.448917,-81.668122
0:01:05,2023-05-17T17:25:36Z,41.448916,-81.668121
0:01:06,2023-05-17T17:25:37Z,41.448916,-81.668121
0:01:07,2023-05-17T17:25:38Z,41.448916,-81.66812
